Year,"CT County Subdivisions,Year",Town,"Kindergarteners with PreK Experience, Percent"
2002,"9,015,405,002,002",Killingly,
2002,"9,009,499,502,002",Naugatuck,
2002,"9,011,662,102,002",Salem,
2002,"9,005,765,702,002",Torrington,
2002,"9,015,881,902,002",Woodstock,
2002,"9,005,879,102,002",Woodbury,
2002,"9,009,877,002,002",Woodbridge,
2002,"9,009,875,602,002",Wolcott,
2002,"9,003,870,702,002",Windsor Locks,
2002,"9,003,870,002,002",Windsor,
2002,"9,015,867,902,002",Windham,
2012,"92,012",Connecticut,
2002,"9,005,864,402,002",Winchester,
2002,"9,013,178,002,002",Coventry,
2002,"9,001,683,102,002",Sherman,
2002,"9,009,622,902,002",Prospect,
2002,"9,011,621,502,002",Preston,
2002,"9,001,681,702,002",Shelton,
2002,"9,005,172,402,002",Cornwall,
2002,"9,005,534,702,002",Norfolk,
2002,"9,007,618,002,002",Portland,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,015,610,302,002",Pomfret,
2002,"9,005,679,602,002",Sharon,
2002,"9,005,607,502,002",Plymouth,
2002,"92,002",Connecticut,
2002,"9,013,164,002,002",Columbia,
2002,"9,003,601,202,002",Plainville,
2002,"9,001,529,802,002",Newtown,
2002,"9,005,160,502,002",Colebrook,
2002,"9,011,159,102,002",Colchester,
2002,"9,015,599,802,002",Plainfield,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,003,521,402,002",Newington,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,005,659,302,002",Roxbury,
2000,"910,000,000,000,962,000",Priority School Districts,
2002,"9,001,741,902,002",Stratford,
2002,"9,003,653,702,002",Rocky Hill,
2002,"9,001,639,702,002",Ridgefield,
2002,"9,001,634,802,002",Redding,
2002,"9,011,737,702,002",Stonington,
2002,"9,015,734,202,002",Sterling,
2002,"9,015,627,102,002",Putnam,
2000,"910,000,000,000,962,000",Priority School Districts,
